"wavelength (nm)","interpolated Responsivity (A/W)","Quantum Efficiency"
350,0.051,0.1807
351,0.051,0.1801
352,0.051,0.1796
353,0.051,0.1791
354,0.051,0.1786
355,0.052,0.1816
356,0.052,0.1811
357,0.052,0.1806
358,0.052,0.1801
359,0.052,0.1796
360,0.053,0.1825
361,0.053,0.1820
362,0.053,0.1815
363,0.053,0.1810
364,0.054,0.1839
365,0.054,0.1834
366,0.054,0.1829
367,0.055,0.1858
368,0.055,0.1853
369,0.055,0.1848
370,0.056,0.1877
371,0.056,0.1871
372,0.056,0.1866
373,0.057,0.1895
374,0.057,0.1890
375,0.058,0.1918
376,0.058,0.1913
377,0.059,0.1940
378,0.059,0.1935
379,0.06,0.1963
380,0.06,0.1958
381,0.061,0.1985
382,0.061,0.1980
383,0.062,0.2007
384,0.063,0.2034
385,0.063,0.2029
386,0.064,0.2056
387,0.065,0.2082
388,0.066,0.2109
389,0.066,0.2104
390,0.067,0.2130
391,0.068,0.2156
392,0.069,0.2182
393,0.07,0.2208
394,0.071,0.2234
395,0.072,0.2260
396,0.072,0.2254
397,0.073,0.2280
398,0.074,0.2305
399,0.075,0.2331
400,0.076,0.2356
401,0.078,0.2412
402,0.079,0.2437
403,0.08,0.2461
404,0.081,0.2486
405,0.082,0.2510
406,0.083,0.2535
407,0.084,0.2559
408,0.085,0.2583
409,0.086,0.2607
410,0.087,0.2631
411,0.088,0.2655
412,0.089,0.2678
413,0.09,0.2702
414,0.091,0.2725
415,0.092,0.2749
416,0.093,0.2772
417,0.094,0.2795
418,0.096,0.2847
419,0.097,0.2870
420,0.098,0.2893
421,0.099,0.2916
422,0.1,0.2938
423,0.102,0.2990
424,0.103,0.3012
425,0.104,0.3034
426,0.106,0.3085
427,0.107,0.3107
428,0.108,0.3129
429,0.11,0.3179
430,0.111,0.3201
431,0.112,0.3222
432,0.114,0.3272
433,0.115,0.3293
434,0.116,0.3314
435,0.117,0.3335
436,0.118,0.3356
437,0.12,0.3405
438,0.121,0.3425
439,0.122,0.3446
440,0.124,0.3494
441,0.125,0.3514
442,0.126,0.3534
443,0.128,0.3582
444,0.129,0.3602
445,0.131,0.3650
446,0.132,0.3669
447,0.134,0.3717
448,0.135,0.3736
449,0.137,0.3783
450,0.138,0.3802
451,0.139,0.3821
452,0.141,0.3868
453,0.142,0.3886
454,0.143,0.3905
455,0.144,0.3924
456,0.145,0.3942
457,0.147,0.3988
458,0.148,0.4006
459,0.15,0.4052
460,0.151,0.4070
461,0.153,0.4115
462,0.154,0.4133
463,0.156,0.4177
464,0.157,0.4195
465,0.159,0.4239
466,0.16,0.4257
467,0.161,0.4274
468,0.163,0.4318
469,0.164,0.4335
470,0.165,0.4353
471,0.167,0.4396
472,0.168,0.4413
473,0.169,0.4430
474,0.171,0.4473
475,0.172,0.4490
476,0.174,0.4532
477,0.175,0.4549
478,0.177,0.4591
479,0.178,0.4607
480,0.18,0.4649
481,0.181,0.4666
482,0.183,0.4707
483,0.184,0.4723
484,0.185,0.4739
485,0.187,0.4780
486,0.188,0.4796
487,0.189,0.4812
488,0.191,0.4853
489,0.192,0.4868
490,0.193,0.4883
491,0.195,0.4924
492,0.196,0.4939
493,0.197,0.4954
494,0.199,0.4995
495,0.2,0.5009
496,0.202,0.5049
497,0.203,0.5064
498,0.204,0.5079
499,0.206,0.5118
500,0.207,0.5133
501,0.208,0.5147
502,0.21,0.5187
503,0.211,0.5201
504,0.212,0.5215
505,0.214,0.5254
506,0.215,0.5268
507,0.217,0.5307
508,0.218,0.5321
509,0.219,0.5334
510,0.221,0.5373
511,0.222,0.5386
512,0.223,0.5400
513,0.225,0.5438
514,0.226,0.5451
515,0.228,0.5489
516,0.229,0.5502
517,0.231,0.5540
518,0.232,0.5553
519,0.234,0.5590
520,0.235,0.5603
521,0.237,0.5640
522,0.238,0.5653
523,0.24,0.5690
524,0.241,0.5702
525,0.243,0.5739
526,0.244,0.5751
527,0.245,0.5764
528,0.247,0.5800
529,0.248,0.5812
530,0.25,0.5848
531,0.251,0.5861
532,0.253,0.5896
533,0.254,0.5908
534,0.256,0.5944
535,0.258,0.5979
536,0.26,0.6014
537,0.261,0.6026
538,0.263,0.6061
539,0.264,0.6073
540,0.266,0.6107
541,0.267,0.6119
542,0.269,0.6153
543,0.27,0.6165
544,0.271,0.6176
545,0.273,0.6211
546,0.274,0.6222
547,0.275,0.6233
548,0.277,0.6267
549,0.278,0.6278
550,0.28,0.6312
551,0.281,0.6323
552,0.283,0.6356
553,0.284,0.6367
554,0.286,0.6401
555,0.288,0.6434
556,0.289,0.6445
557,0.291,0.6477
558,0.293,0.6510
559,0.294,0.6521
560,0.296,0.6553
561,0.297,0.6564
562,0.298,0.6574
563,0.3,0.6607
564,0.301,0.6617
565,0.302,0.6627
566,0.304,0.6659
567,0.306,0.6691
568,0.307,0.6701
569,0.309,0.6733
570,0.31,0.6743
571,0.312,0.6775
572,0.313,0.6784
573,0.315,0.6816
574,0.316,0.6826
575,0.318,0.6857
576,0.319,0.6866
577,0.321,0.6898
578,0.322,0.6907
579,0.324,0.6938
580,0.325,0.6947
581,0.327,0.6978
582,0.328,0.6987
583,0.33,0.7018
584,0.331,0.7027
585,0.333,0.7058
586,0.334,0.7067
587,0.336,0.7097
588,0.337,0.7106
589,0.339,0.7136
590,0.34,0.7145
591,0.342,0.7175
592,0.343,0.7184
593,0.345,0.7213
594,0.346,0.7222
595,0.348,0.7252
596,0.349,0.7260
597,0.35,0.7269
598,0.352,0.7298
599,0.353,0.7307
600,0.354,0.7315
601,0.356,0.7344
602,0.358,0.7373
603,0.359,0.7381
604,0.361,0.7410
605,0.362,0.7419
606,0.364,0.7447
607,0.365,0.7455
608,0.367,0.7484
609,0.368,0.7492
610,0.37,0.7520
611,0.371,0.7528
612,0.373,0.7557
613,0.374,0.7564
614,0.375,0.7572
615,0.376,0.7580
616,0.377,0.7588
617,0.379,0.7616
618,0.38,0.7624
619,0.381,0.7631
620,0.383,0.7659
621,0.384,0.7667
622,0.386,0.7694
623,0.387,0.7702
624,0.389,0.7729
625,0.39,0.7737
626,0.392,0.7764
627,0.393,0.7771
628,0.394,0.7779
629,0.396,0.7806
630,0.397,0.7813
631,0.398,0.7820
632,0.4,0.7847
633,0.401,0.7854
634,0.402,0.7861
635,0.404,0.7888
636,0.405,0.7895
637,0.406,0.7902
638,0.408,0.7929
639,0.409,0.7936
640,0.411,0.7962
641,0.412,0.7969
642,0.413,0.7976
643,0.415,0.8002
644,0.416,0.8009
645,0.417,0.8016
646,0.419,0.8042
647,0.42,0.8048
648,0.421,0.8055
649,0.423,0.8081
650,0.424,0.8088
651,0.425,0.8094
652,0.427,0.8120
653,0.428,0.8126
654,0.429,0.8133
655,0.43,0.8139
656,0.431,0.8146
657,0.433,0.8171
658,0.434,0.8178
659,0.435,0.8184
660,0.437,0.8209
661,0.438,0.8216
662,0.44,0.8241
663,0.441,0.8247
664,0.442,0.8253
665,0.444,0.8278
666,0.445,0.8284
667,0.446,0.8290
668,0.448,0.8315
669,0.449,0.8321
670,0.45,0.8327
671,0.452,0.8352
672,0.453,0.8358
673,0.454,0.8364
674,0.455,0.8370
675,0.456,0.8376
676,0.458,0.8400
677,0.459,0.8406
678,0.46,0.8412
679,0.462,0.8436
680,0.463,0.8442
681,0.464,0.8448
682,0.466,0.8472
683,0.467,0.8477
684,0.468,0.8483
685,0.47,0.8507
686,0.471,0.8513
687,0.472,0.8518
688,0.473,0.8524
689,0.474,0.8530
690,0.476,0.8553
691,0.477,0.8559
692,0.478,0.8564
693,0.479,0.8570
694,0.481,0.8593
695,0.482,0.8599
696,0.483,0.8604
697,0.484,0.8610
698,0.485,0.8615
699,0.486,0.8620
700,0.487,0.8626
701,0.488,0.8631
702,0.489,0.8637
703,0.49,0.8642
704,0.492,0.8665
705,0.493,0.8670
706,0.494,0.8675
707,0.495,0.8681
708,0.496,0.8686
709,0.498,0.8709
710,0.499,0.8714
711,0.5,0.8719
712,0.501,0.8724
713,0.502,0.8729
714,0.503,0.8734
715,0.504,0.8740
716,0.505,0.8745
717,0.506,0.8750
718,0.508,0.8772
719,0.509,0.8777
720,0.51,0.8782
721,0.511,0.8787
722,0.512,0.8792
723,0.514,0.8814
724,0.515,0.8819
725,0.516,0.8824
726,0.517,0.8829
727,0.518,0.8834
728,0.519,0.8839
729,0.52,0.8844
730,0.521,0.8849
731,0.522,0.8854
732,0.523,0.8858
733,0.524,0.8863
734,0.525,0.8868
735,0.526,0.8873
736,0.527,0.8878
737,0.528,0.8882
738,0.529,0.8887
739,0.531,0.8909
740,0.532,0.8913
741,0.533,0.8918
742,0.534,0.8923
743,0.535,0.8928
744,0.536,0.8932
745,0.537,0.8937
746,0.538,0.8941
747,0.539,0.8946
748,0.54,0.8951
749,0.541,0.8955
750,0.542,0.8960
751,0.543,0.8965
752,0.544,0.8969
753,0.545,0.8974
754,0.546,0.8978
755,0.547,0.8983
756,0.548,0.8987
757,0.549,0.8992
758,0.55,0.8996
759,0.551,0.9001
760,0.552,0.9005
761,0.553,0.9010
762,0.554,0.9014
763,0.555,0.9019
764,0.556,0.9023
765,0.557,0.9027
766,0.558,0.9032
767,0.559,0.9036
768,0.559,0.9024
769,0.56,0.9029
770,0.561,0.9033
771,0.562,0.9037
772,0.563,0.9042
773,0.564,0.9046
774,0.565,0.9051
775,0.566,0.9055
776,0.567,0.9059
777,0.567,0.9047
778,0.568,0.9052
779,0.569,0.9056
780,0.57,0.9060
781,0.57,0.9049
782,0.571,0.9053
783,0.572,0.9057
784,0.573,0.9062
785,0.574,0.9066
786,0.575,0.9070
787,0.576,0.9074
788,0.577,0.9079
789,0.577,0.9067
790,0.578,0.9071
791,0.579,0.9075
792,0.58,0.9080
793,0.58,0.9068
794,0.581,0.9072
795,0.582,0.9077
796,0.583,0.9081
797,0.583,0.9069
798,0.584,0.9074
799,0.585,0.9078
800,0.586,0.9082
801,0.587,0.9086
802,0.587,0.9075
803,0.588,0.9079
804,0.589,0.9083
805,0.59,0.9087
806,0.591,0.9091
807,0.592,0.9095
808,0.593,0.9099
809,0.594,0.9103
810,0.594,0.9092
811,0.595,0.9096
812,0.596,0.9100
813,0.597,0.9104
814,0.597,0.9093
815,0.598,0.9097
816,0.599,0.9101
817,0.599,0.9090
818,0.6,0.9094
819,0.601,0.9098
820,0.601,0.9087
821,0.602,0.9091
822,0.602,0.9080
823,0.603,0.9084
824,0.604,0.9088
825,0.604,0.9077
826,0.605,0.9081
827,0.605,0.9070
828,0.606,0.9074
829,0.607,0.9078
830,0.607,0.9067
831,0.608,0.9071
832,0.609,0.9075
833,0.61,0.9079
834,0.611,0.9083
835,0.611,0.9072
836,0.612,0.9076
837,0.612,0.9066
838,0.613,0.9069
839,0.614,0.9073
840,0.614,0.9063
841,0.615,0.9067
842,0.615,0.9056
843,0.616,0.9060
844,0.617,0.9064
845,0.617,0.9053
846,0.618,0.9057
847,0.618,0.9046
848,0.619,0.9050
849,0.62,0.9054
850,0.62,0.9044
851,0.621,0.9047
852,0.622,0.9051
853,0.622,0.9041
854,0.623,0.9045
855,0.623,0.9034
856,0.624,0.9038
857,0.624,0.9028
858,0.625,0.9031
859,0.625,0.9021
860,0.626,0.9025
861,0.626,0.9014
862,0.627,0.9018
863,0.627,0.9008
864,0.628,0.9012
865,0.628,0.9001
866,0.629,0.9005
867,0.63,0.9009
868,0.63,0.8999
869,0.63,0.8988
870,0.631,0.8992
871,0.631,0.8982
872,0.631,0.8972
873,0.632,0.8976
874,0.632,0.8965
875,0.632,0.8955
876,0.633,0.8959
877,0.633,0.8949
878,0.634,0.8953
879,0.634,0.8943
880,0.635,0.8947
881,0.635,0.8936
882,0.636,0.8940
883,0.636,0.8930
884,0.636,0.8920
885,0.637,0.8924
886,0.637,0.8914
887,0.638,0.8918
888,0.638,0.8908
889,0.638,0.8898
890,0.639,0.8902
891,0.639,0.8892
892,0.639,0.8882
893,0.64,0.8886
894,0.64,0.8876
895,0.64,0.8866
896,0.641,0.8870
897,0.641,0.8860
898,0.642,0.8864
899,0.642,0.8854
900,0.643,0.8858
901,0.643,0.8848
902,0.643,0.8838
903,0.644,0.8842
904,0.644,0.8833
905,0.644,0.8823
906,0.645,0.8827
907,0.645,0.8817
908,0.645,0.8807
909,0.645,0.8798
910,0.645,0.8788
911,0.646,0.8792
912,0.646,0.8782
913,0.646,0.8773
914,0.646,0.8763
915,0.646,0.8753
916,0.646,0.8744
917,0.646,0.8734
918,0.647,0.8738
919,0.647,0.8729
920,0.647,0.8719
921,0.647,0.8710
922,0.647,0.8700
923,0.648,0.8704
924,0.648,0.8695
925,0.648,0.8686
926,0.649,0.8690
927,0.649,0.8680
928,0.649,0.8671
929,0.649,0.8662
930,0.649,0.8652
931,0.65,0.8656
932,0.65,0.8647
933,0.65,0.8638
934,0.65,0.8628
935,0.65,0.8619
936,0.65,0.8610
937,0.651,0.8614
938,0.651,0.8605
939,0.651,0.8596
940,0.651,0.8587
941,0.651,0.8577
942,0.651,0.8568
943,0.651,0.8559
944,0.651,0.8550
945,0.651,0.8541
946,0.651,0.8532
947,0.651,0.8523
948,0.651,0.8514
949,0.651,0.8505
950,0.651,0.8496
951,0.651,0.8487
952,0.651,0.8478
953,0.651,0.8469
954,0.651,0.8461
955,0.651,0.8452
956,0.651,0.8443
957,0.651,0.8434
958,0.651,0.8425
959,0.651,0.8416
960,0.651,0.8408
961,0.651,0.8399
962,0.651,0.8390
963,0.651,0.8381
964,0.65,0.8360
965,0.65,0.8351
966,0.65,0.8343
967,0.65,0.8334
968,0.65,0.8325
969,0.65,0.8317
970,0.649,0.8295
971,0.649,0.8287
972,0.649,0.8278
973,0.649,0.8270
974,0.649,0.8261
975,0.648,0.8240
976,0.648,0.8232
977,0.647,0.8211
978,0.647,0.8202
979,0.646,0.8181
980,0.646,0.8173
981,0.645,0.8152
982,0.645,0.8144
983,0.645,0.8135
984,0.644,0.8114
985,0.644,0.8106
986,0.643,0.8085
987,0.643,0.8077
988,0.642,0.8056
989,0.641,0.8036
990,0.641,0.8028
991,0.64,0.8007
992,0.64,0.7999
993,0.639,0.7978
994,0.638,0.7958
995,0.637,0.7937
996,0.635,0.7905
997,0.634,0.7884
998,0.633,0.7864
999,0.632,0.7844
1000,0.63,0.7811
1001,0.629,0.7791
1002,0.627,0.7758
1003,0.625,0.7726
1004,0.624,0.7706
1005,0.622,0.7673
1006,0.62,0.7641
1007,0.617,0.7597
1008,0.615,0.7565
1009,0.613,0.7532
1010,0.61,0.7488
1011,0.607,0.7444
1012,0.603,0.7388
1013,0.6,0.7344
1014,0.597,0.7300
1015,0.59,0.7207
1016,0.585,0.7139
1017,0.581,0.7083
1018,0.572,0.6966
1019,0.564,0.6862
1020,0.555,0.6746
1021,0.547,0.6642
1022,0.537,0.6515
1023,0.525,0.6363
1024,0.519,0.6284
1025,0.507,0.6133
1026,0.501,0.6054
1027,0.49,0.5916
1028,0.483,0.5825
1029,0.473,0.5699
1030,0.466,0.5609
1031,0.455,0.5472
1032,0.449,0.5394
1033,0.438,0.5257
1034,0.431,0.5168
1035,0.425,0.5091
1036,0.414,0.4955
1037,0.407,0.4866
1038,0.401,0.4790
1039,0.394,0.4702
1040,0.387,0.4614
1041,0.377,0.4490
1042,0.37,0.4403
1043,0.364,0.4327
1044,0.357,0.4240
1045,0.35,0.4153
1046,0.344,0.4077
1047,0.337,0.3991
1048,0.331,0.3916
1049,0.324,0.3829
1050,0.318,0.3755